task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-03-31T00:04:22,vjepa2,c220b255-4c3e-4372-9b3d-7a5e0174a9ff,0.7516802940517664,4.297989034933806e-07,5.715321720399963e-07,360.0,149.87403212793726,10.0,7.558988295495509e-05,3.1469747391099645e-05,2.0996658286700646e-06,0.0001091592961747248,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #2,2026-03-31T00:04:23,vjepa2,c220b255-4c3e-4372-9b3d-7a5e0174a9ff,0.42158370092511177,2.449783524391873e-07,5.807403271750991e-07,360.0,160.80389089195538,10.0,4.219772275537252e-05,1.8849181749658328e-05,1.1721107436137066e-06,6.221901524864457e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #3,2026-03-31T00:04:23,vjepa2,c220b255-4c3e-4372-9b3d-7a5e0174a9ff,0.40510597079992294,2.3850317558677255e-07,5.883338687822622e-07,360.0,167.75330871935833,10.0,4.0551430732011783e-05,1.8896681780233848e-05,1.1263528269612127e-06,6.057446533920687e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #4,2026-03-31T00:04:24,vjepa2,c220b255-4c3e-4372-9b3d-7a5e0174a9ff,0.5301247052848339,3.1591718265414426e-07,5.956370944810866e-07,360.0,170.70902365007305,10.0,5.3420089557766897e-05,2.533196471432575e-05,1.4838351816352871e-06,8.023588945372796e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #5,2026-03-31T00:04:24,vjepa2,c220b255-4c3e-4372-9b3d-7a5e0174a9ff,0.3616025745868683,2.0850306763916175e-07,5.762953124152065e-07,360.0,151.72311906909556,10.0,3.653987646102906e-05,1.5400290095612945e-05,1.0149432139264213e-06,5.295510977056843e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #6,2026-03-31T00:04:25,vjepa2,c220b255-4c3e-4372-9b3d-7a5e0174a9ff,0.47657510638237,2.7521834995374014e-07,5.771144158574949e-07,360.0,157.2861255748713,10.0,4.772286750376223e-05,2.085085001368725e-05,1.32557987752888e-06,6.989929739497833e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #7,2026-03-31T00:04:25,vjepa2,c220b255-4c3e-4372-9b3d-7a5e0174a9ff,0.47406219877302647,2.7283993385908694e-07,5.752922495243256e-07,360.0,155.80443672057802,10.0,4.74437726661563e-05,2.053362754139698e-05,1.3178327638241985e-06,6.929523297137741e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #8,2026-03-31T00:04:26,vjepa2,c220b255-4c3e-4372-9b3d-7a5e0174a9ff,0.4852344784885645,3.0288215491185633e-07,6.239053434282527e-07,360.0,200.09501613085857,10.0,4.8575984872877617e-05,2.7000021596279566e-05,1.3492778564492867e-06,7.69252843256065e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #9,2026-03-31T00:04:26,vjepa2,c220b255-4c3e-4372-9b3d-7a5e0174a9ff,0.43443259596824646,2.505272088758168e-07,5.764194782260837e-07,360.0,156.81154532610165,10.0,4.348054919391868e-05,1.8940015152679734e-05,1.2077361707472144e-06,6.362830051734564e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #10,2026-03-31T00:04:27,vjepa2,c220b255-4c3e-4372-9b3d-7a5e0174a9ff,0.502285735681653,3.1338117404873863e-07,6.236317908249622e-07,360.0,199.12315439786508,10.0,5.034556593745947e-05,2.7847800048164117e-05,1.3984340760442951e-06,7.959180006166791e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #11,2026-03-31T00:04:27,vjepa2,c220b255-4c3e-4372-9b3d-7a5e0174a9ff,0.4566387552767992,2.605345700156745e-07,5.703739030800626e-07,360.0,151.32548609354674,10.0,4.569322988390919e-05,1.9207515364882966e-05,1.269200884012713e-06,6.616994613280484e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
