task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-03-31T00:04:22,vjepa2,5705d88a-464d-4399-b442-1b39ff8d2cce,0.31255506351590157,1.8579110061776918e-07,5.951734723529551e-07,360.0,174.4850111463806,10.0,3.119800575077534e-05,1.5122512095899765e-05,8.662609331723717e-07,4.718677877984747e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #1,2026-03-31T00:04:22,vjepa2,5705d88a-464d-4399-b442-1b39ff8d2cce,0.23870912939310074,1.3379446854525347e-07,5.611449777528613e-07,360.0,151.81993124057144,10.0,2.344279550015926e-05,9.886952348381328e-06,6.510508453680409e-07,3.398079869390863e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #1,2026-03-31T00:04:22,vjepa2,5705d88a-464d-4399-b442-1b39ff8d2cce,0.18454712629318237,1.0016170972732525e-07,5.435633604595745e-07,360.0,125.93717507270613,10.0,1.8465759232640265e-05,6.460282946818552e-06,5.12788977680935e-07,2.5438831157139746e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #2,2026-03-31T00:04:23,vjepa2,5705d88a-464d-4399-b442-1b39ff8d2cce,0.1598382256925106,1.0363652072006898e-07,6.498897552595887e-07,360.0,225.3275112628925,10.0,1.5916102379560465e-05,9.963341305763151e-06,4.4191164585451283e-07,2.6321355331178145e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #2,2026-03-31T00:04:23,vjepa2,5705d88a-464d-4399-b442-1b39ff8d2cce,0.11955629661679268,6.450575508449608e-08,5.413788025972924e-07,360.0,126.30375787471534,10.0,1.188335977494716e-05,4.169725563940574e-06,3.2993185126947044e-07,1.6383017190157198e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #2,2026-03-31T00:04:23,vjepa2,5705d88a-464d-4399-b442-1b39ff8d2cce,0.13677011989057064,7.365270795562702e-08,5.399603021047861e-07,360.0,124.71494298623251,10.0,1.3612067885696892e-05,4.716114879954603e-06,3.7795560848381795e-07,1.870613837413529e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #3,2026-03-31T00:04:23,vjepa2,5705d88a-464d-4399-b442-1b39ff8d2cce,0.15358494594693184,8.100438451783112e-08,5.286082241379824e-07,360.0,115.62619280005853,10.0,1.5250933729112155e-05,4.898892804305888e-06,4.2347304729951763e-07,2.057329958071754e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #3,2026-03-31T00:04:23,vjepa2,5705d88a-464d-4399-b442-1b39ff8d2cce,0.10718418098986149,6.517377957507088e-08,6.099541945481084e-07,360.0,188.1867240706654,10.0,1.067516244947911e-05,5.581115573249917e-06,2.964024276783068e-07,1.6552680450407337e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #3,2026-03-31T00:04:23,vjepa2,5705d88a-464d-4399-b442-1b39ff8d2cce,0.13686816208064556,8.846649458457416e-08,6.479212213972999e-07,360.0,221.59490053515802,10.0,1.367220077663661e-05,8.416673402678043e-06,3.7963424498836194e-07,2.2468508424303027e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #4,2026-03-31T00:04:23,vjepa2,5705d88a-464d-4399-b442-1b39ff8d2cce,0.19170714542269707,1.2093522579679792e-07,6.322089387007725e-07,360.0,208.55331489164115,10.0,1.911160629242657e-05,1.1072508854681473e-05,5.307238704214491e-07,3.0714839017529516e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
