epoch,step,phase,start_time,end_time,duration_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,1,data_transfer,1774930498.3281157,1774930498.3324654,4.350,5068.5,5220.0
1,1,forward,1774930498.3354156,1774930498.7320473,396.632,7965.6,8190.0
1,1,backward,1774930498.735684,1774930498.9425488,206.865,7647.8,9792.0
1,1,ema_update,1774930499.1007612,1774930499.1277895,27.028,10215.6,15944.0
1,1,optimizer_step,1774930498.9460502,1774930499.1318908,185.841,10215.6,15944.0
1,1,total_step,1774930498.3280907,1774930499.1348748,806.784,10197.2,15944.0
1,2,data_transfer,1774930499.2119298,1774930499.2127814,0.852,10215.6,15944.0
1,2,forward,1774930499.2163908,1774930499.5132952,296.904,14368.6,16118.0
1,2,backward,1774930499.5167959,1774930499.7192585,202.463,12782.7,16118.0
1,2,ema_update,1774930499.8309324,1774930499.8579288,26.996,10215.6,16404.0
1,2,optimizer_step,1774930499.7225978,1774930499.8615136,138.916,10215.6,16404.0
1,2,total_step,1774930499.211915,1774930499.8657568,653.842,10197.2,16404.0
1,3,data_transfer,1774930499.9379923,1774930499.9388554,0.863,10215.6,16404.0
1,3,forward,1774930499.9423223,1774930500.2297482,287.426,13851.5,16404.0
1,3,backward,1774930500.2338977,1774930500.4159381,182.040,12784.8,16404.0
1,3,ema_update,1774930500.530564,1774930500.5575595,26.995,10215.6,16612.0
1,3,optimizer_step,1774930500.422363,1774930500.560861,138.498,10215.6,16612.0
1,3,total_step,1774930499.9379785,1774930500.564593,626.615,10197.2,16612.0
1,4,data_transfer,1774930500.629102,1774930500.6299672,0.865,10215.6,16612.0
1,4,forward,1774930500.6337795,1774930500.9647741,330.995,15847.6,18652.0
1,4,backward,1774930500.9682112,1774930501.232761,264.550,12780.4,18752.0
1,4,ema_update,1774930501.346177,1774930501.373241,27.064,10215.6,18754.0
1,4,optimizer_step,1774930501.2377956,1774930501.376713,138.917,10215.6,18754.0
1,4,total_step,1774930500.6290894,1774930501.3806012,751.512,10197.2,18754.0
1,5,data_transfer,1774930501.4405966,1774930501.4414608,0.864,10215.6,18754.0
1,5,forward,1774930501.44445,1774930501.7360659,291.616,13955.0,18754.0
1,5,backward,1774930501.742332,1774930501.93113,188.798,12795.6,18754.0
1,5,ema_update,1774930502.0426788,1774930502.06971,27.031,10215.6,18754.0
1,5,optimizer_step,1774930501.9344416,1774930502.0746713,140.230,10215.6,18754.0
1,5,total_step,1774930501.4405832,1774930502.0782888,637.706,10197.2,18754.0
1,6,data_transfer,1774930502.1354525,1774930502.1363068,0.854,10215.6,18754.0
1,6,forward,1774930502.1400888,1774930502.448408,308.319,14877.3,18754.0
1,6,backward,1774930502.4518454,1774930502.6710796,219.234,12786.1,18754.0
1,6,ema_update,1774930502.783052,1774930502.810047,26.995,10215.6,18754.0
1,6,optimizer_step,1774930502.6743793,1774930502.8134305,139.051,10215.6,18754.0
1,6,total_step,1774930502.1354392,1774930502.8170092,681.570,10197.2,18754.0
1,7,data_transfer,1774930502.8663437,1774930502.867199,0.855,10215.6,18754.0
1,7,forward,1774930502.8707948,1774930503.1550245,284.230,13870.2,18754.0
1,7,backward,1774930503.1600912,1774930503.337491,177.400,12791.7,18754.0
1,7,ema_update,1774930503.449131,1774930503.4761546,27.024,10215.6,18754.0
1,7,optimizer_step,1774930503.3407724,1774930503.4793525,138.580,10215.6,18754.0
1,7,total_step,1774930502.86633,1774930503.4830601,616.730,10197.2,18754.0
1,8,data_transfer,1774930503.5355153,1774930503.5363772,0.862,10215.6,18754.0
1,8,forward,1774930503.5396175,1774930503.8584595,318.842,15299.3,18754.0
1,8,backward,1774930503.8618238,1774930504.098856,237.032,12776.6,18754.0
1,8,ema_update,1774930504.2102656,1774930504.2372577,26.992,10215.6,18754.0
1,8,optimizer_step,1774930504.102197,1774930504.2411952,138.998,10215.6,18754.0
1,8,total_step,1774930503.5354984,1774930504.2448676,709.369,10197.2,18754.0
1,9,data_transfer,1774930504.2968025,1774930504.2976635,0.861,10215.6,18754.0
1,9,forward,1774930504.3016114,1774930504.5891805,287.569,13896.4,18754.0
1,9,backward,1774930504.5926735,1774930504.7711437,178.470,12784.9,18754.0
1,9,ema_update,1774930504.8831654,1774930504.910167,27.002,10215.6,18754.0
1,9,optimizer_step,1774930504.7745984,1774930504.9136934,139.095,10215.6,18754.0
1,9,total_step,1774930504.2967882,1774930504.9171035,620.315,10197.2,18754.0
1,10,data_transfer,1774930504.9692664,1774930504.9701238,0.857,10215.6,18754.0
1,10,forward,1774930504.973402,1774930505.2500372,276.635,13382.1,18754.0
1,10,backward,1774930505.253466,1774930505.4173207,163.855,12781.7,18754.0
1,10,ema_update,1774930505.5288277,1774930505.5557604,26.933,10215.6,18754.0
1,10,optimizer_step,1774930505.4205441,1774930505.5593972,138.853,10215.6,18754.0
1,10,total_step,1774930504.9692535,1774930505.5633838,594.130,10197.2,18754.0
1,11,data_transfer,1774930505.621061,1774930505.6219344,0.873,10215.6,18754.0
1,11,forward,1774930505.6264544,1774930505.9207044,294.250,14028.0,18754.0
1,11,backward,1774930505.9244246,1774930506.1191108,194.686,12781.0,18754.0
1,11,ema_update,1774930506.2309093,1774930506.2578716,26.962,10215.6,18754.0
1,11,optimizer_step,1774930506.1224275,1774930506.2614367,139.009,10215.6,18754.0
1,11,total_step,1774930505.6210473,1774930506.2665224,645.475,10197.2,18754.0
1,12,data_transfer,1774930506.3249362,1774930506.325809,0.873,10215.6,18754.0
1,12,forward,1774930506.3297791,1774930506.584516,254.737,12449.5,18754.0
1,12,backward,1774930506.5880396,1774930506.7113576,123.318,12783.7,18754.0
1,12,ema_update,1774930506.823031,1774930506.850066,27.035,10215.6,18754.0
1,12,optimizer_step,1774930506.7147777,1774930506.8533933,138.616,10215.6,18754.0
1,12,total_step,1774930506.3249178,1774930506.857242,532.324,10197.2,18754.0
1,13,data_transfer,1774930506.91594,1774930506.9168057,0.866,10215.6,18754.0
1,13,forward,1774930506.9201374,1774930507.2031918,283.054,13845.8,18754.0
1,13,backward,1774930507.2068343,1774930507.383153,176.319,12791.4,18754.0
1,13,ema_update,1774930507.49504,1774930507.5220606,27.021,10215.6,18754.0
1,13,optimizer_step,1774930507.3867705,1774930507.5255516,138.781,10215.6,18754.0
1,13,total_step,1774930506.915928,1774930507.5290055,613.078,10197.2,18754.0
1,14,data_transfer,1774930507.5793235,1774930507.5801945,0.871,10215.6,18754.0
1,14,forward,1774930507.5836184,1774930507.8491445,265.526,12787.4,18754.0
1,14,backward,1774930507.8525665,1774930507.9969957,144.429,12787.4,18754.0
1,14,ema_update,1774930508.1088874,1774930508.1358466,26.959,10215.6,18754.0
1,14,optimizer_step,1774930508.000387,1774930508.1397665,139.380,10215.6,18754.0
1,14,total_step,1774930507.5793107,1774930508.1433632,564.053,10197.2,18754.0
1,15,data_transfer,1774930508.2026064,1774930508.2034755,0.869,10215.6,18754.0
1,15,forward,1774930508.2068458,1774930508.4925706,285.725,13887.7,18754.0
1,15,backward,1774930508.4958928,1774930508.6738536,177.961,12791.7,18754.0
1,15,ema_update,1774930508.7854915,1774930508.8124743,26.983,10215.6,18754.0
1,15,optimizer_step,1774930508.677178,1774930508.8161159,138.938,10215.6,18754.0
1,15,total_step,1774930508.2025926,1774930508.8200293,617.437,10197.2,18754.0
1,16,data_transfer,1774930508.8858855,1774930508.886754,0.869,10215.6,18754.0
1,16,forward,1774930508.890571,1774930509.174436,283.865,13740.8,18754.0
1,16,backward,1774930509.1786177,1774930509.3566618,178.044,12786.7,18754.0
1,16,ema_update,1774930509.468778,1774930509.4957974,27.020,10215.6,18754.0
1,16,optimizer_step,1774930509.360429,1774930509.5002718,139.843,10215.6,18754.0
1,16,total_step,1774930508.8858716,1774930509.5039213,618.050,10197.2,18754.0
1,17,data_transfer,1774930509.5596197,1774930509.5604935,0.874,10215.6,18754.0
1,17,forward,1774930509.563833,1774930509.82221,258.377,12628.2,18754.0
1,17,backward,1774930509.8283236,1774930509.9599726,131.649,12795.9,18754.0
1,17,ema_update,1774930510.0720193,1774930510.0989814,26.962,10215.6,18754.0
1,17,optimizer_step,1774930509.9637475,1774930510.1025918,138.844,10215.6,18754.0
1,17,total_step,1774930509.5596058,1774930510.1071534,547.548,10197.2,18754.0
1,18,data_transfer,1774930510.1688962,1774930510.1697705,0.874,10215.6,18754.0
1,18,forward,1774930510.173008,1774930510.451482,278.474,13635.3,18754.0
1,18,backward,1774930510.4588056,1774930510.6228976,164.092,12786.3,18754.0
1,18,ema_update,1774930510.7356672,1774930510.7626648,26.998,10215.6,18754.0
1,18,optimizer_step,1774930510.6273472,1774930510.7663574,139.010,10215.6,18754.0
1,18,total_step,1774930510.1688828,1774930510.770618,601.735,10197.2,18754.0
1,19,data_transfer,1774930510.8284786,1774930510.8293364,0.858,10215.6,18754.0
1,19,forward,1774930510.8328135,1774930511.1258035,292.990,14249.1,18754.0
1,19,backward,1774930511.1296747,1774930511.3249242,195.250,12779.2,18754.0
1,19,ema_update,1774930511.4368806,1774930511.4638026,26.922,10215.6,18754.0
