epoch,step,loss,total_step_ms,data_transfer_ms,forward_ms,backward_ms,optimizer_step_ms,ema_update_ms,step_start_time,step_end_time
1,1,0.858002,883.053,4.183,432.019,246.626,188.759,27.147,1774931132.7681928,1774931133.6533859
1,2,0.73565,638.332,0.887,295.668,190.17,138.79,27.116,1774931133.7334116,1774931134.3742056
1,3,0.692686,563.408,0.882,265.139,144.798,138.729,27.155,1774931134.4457145,1774931135.0117645
1,4,0.655896,780.409,0.862,343.8,281.077,139.149,27.218,1774931135.055972,1774931135.839378
1,5,0.636201,640.826,0.865,295.111,191.272,139.046,27.18,1774931135.8866441,1774931136.5302622
1,6,0.621109,546.432,0.874,261.827,131.334,138.746,27.1,1774931136.5752964,1774931137.124222
1,7,0.607834,539.488,0.862,260.571,125.786,138.751,27.122,1774931137.1704962,1774931137.713137
1,8,0.589674,778.847,0.882,342.926,281.05,138.795,27.107,1774931137.7570693,1774931138.5384457
1,9,0.570457,535.691,0.874,258.332,123.318,139.235,27.102,1774931138.5898802,1774931139.1275015
1,10,0.547252,585.829,0.877,276.14,156.495,139.252,27.146,1774931139.1834583,1774931139.77245
1,11,0.522462,522.775,0.872,252.375,117.259,138.919,27.126,1774931139.8155787,1774931140.341371
1,12,0.496235,712.554,0.864,323.872,234.598,138.887,27.131,1774931140.3918502,1774931141.1066194
1,13,0.468655,622.327,0.873,289.299,179.462,138.838,27.128,1774931141.1552913,1774931141.7802923
1,14,0.441261,627.839,0.872,292.816,179.804,140.316,27.143,1774931141.836258,1774931142.4671247
1,15,0.413322,544.395,0.866,260.238,122.689,140.809,28.754,1774931142.517161,1774931143.0644007
1,16,0.387237,604.113,0.875,283.4,167.217,138.959,27.119,1774931143.1121898,1774931143.7189991
1,17,0.364891,702.486,0.873,318.654,228.922,140.031,27.137,1774931143.8091333,1774931144.5145931
1,18,0.33983,713.799,0.874,322.918,237.525,138.901,27.158,1774931144.5618923,1774931145.278549
1,19,0.32045,789.634,0.865,346.954,288.754,138.904,27.168,1774931145.329149,1774931146.1213737
