mode,mode_label,batch_size,run_num,source,status,run_dir,steps,total_samples,wall_clock_s,throughput_steps_per_s,throughput_samples_per_s,gpu_energy_kwh,has_phase_timing,has_step_summary,has_system_timeline,has_live_power
baseline,Mode 1 Baseline,1,1,structured,completed,analysis_inputs/vjepa2/mode1_baseline/bs1/run1,587,587,316.917,1.8522199818880023,1.8522199818880023,,False,False,False,False
baseline,Mode 1 Baseline,1,2,structured,completed,analysis_inputs/vjepa2/mode1_baseline/bs1/run2,647,647,314.034,2.0602864657966973,2.0602864657966973,,False,False,False,False
baseline,Mode 1 Baseline,1,3,structured,completed,analysis_inputs/vjepa2/mode1_baseline/bs1/run3,652,652,314.156,2.0754020295649296,2.0754020295649296,,False,False,False,False
baseline,Mode 1 Baseline,2,1,structured,completed,analysis_inputs/vjepa2/mode1_baseline/bs2/run1,410,820,325.956,1.2578384812674102,2.5156769625348203,,False,False,False,False
baseline,Mode 1 Baseline,2,2,structured,completed,analysis_inputs/vjepa2/mode1_baseline/bs2/run2,409,818,314.653,1.299844590707859,2.599689181415718,,False,False,False,False
baseline,Mode 1 Baseline,2,3,structured,completed,analysis_inputs/vjepa2/mode1_baseline/bs2/run3,441,882,315.359,1.3984062608011822,2.7968125216023645,,False,False,False,False
codecarbon,Mode 2 CodeCarbon,1,1,structured,completed,analysis_inputs/vjepa2/mode2_codecarbon/bs1/run1,613,613,319.59,1.9180825432585502,1.9180825432585502,0.0147841873829008,False,False,False,False
codecarbon,Mode 2 CodeCarbon,1,2,structured,completed,analysis_inputs/vjepa2/mode2_codecarbon/bs1/run2,611,611,319.878,1.9101032268552387,1.9101032268552387,0.0147401956810355,False,False,False,False
codecarbon,Mode 2 CodeCarbon,1,3,structured,completed,analysis_inputs/vjepa2/mode2_codecarbon/bs1/run3,618,618,319.481,1.9343873344580742,1.9343873344580742,0.0148004776737096,False,False,False,False
codecarbon,Mode 2 CodeCarbon,2,1,structured,completed,analysis_inputs/vjepa2/mode2_codecarbon/bs2/run1,433,866,319.446,1.3554716603119148,2.7109433206238296,0.0157393484248018,False,False,False,False
codecarbon,Mode 2 CodeCarbon,2,2,structured,completed,analysis_inputs/vjepa2/mode2_codecarbon/bs2/run2,438,876,319.819,1.369524637373014,2.739049274746028,0.0157299334172762,False,False,False,False
codecarbon,Mode 2 CodeCarbon,2,3,structured,completed,analysis_inputs/vjepa2/mode2_codecarbon/bs2/run3,438,876,319.449,1.3711108815491675,2.742221763098335,0.0156555172466212,False,False,False,False
finegrained,Mode 3 Fine-Grained,1,1,structured,completed,analysis_inputs/vjepa2/mode3_finegrained/bs1/run1,613,613,317.331,1.931736893023373,1.931736893023373,0.0154612515356546,True,True,True,False
finegrained,Mode 3 Fine-Grained,1,2,structured,completed,analysis_inputs/vjepa2/mode3_finegrained/bs1/run2,611,611,317.236,1.9260109193155885,1.9260109193155885,0.0157167814623093,True,True,True,False
finegrained,Mode 3 Fine-Grained,1,3,structured,completed,analysis_inputs/vjepa2/mode3_finegrained/bs1/run3,606,606,317.746,1.9071837253655437,1.9071837253655437,0.015596893588615,True,True,True,False
finegrained,Mode 3 Fine-Grained,2,1,structured,completed,analysis_inputs/vjepa2/mode3_finegrained/bs2/run1,435,870,315.884,1.3770877917210114,2.7541755834420227,0.0161947651780209,True,True,True,False
finegrained,Mode 3 Fine-Grained,2,2,structured,completed,analysis_inputs/vjepa2/mode3_finegrained/bs2/run2,435,870,317.308,1.3709077615439889,2.7418155230879777,0.0162842860829712,True,True,True,False
finegrained,Mode 3 Fine-Grained,2,3,structured,completed,analysis_inputs/vjepa2/mode3_finegrained/bs2/run3,431,862,317.582,1.3571298121430055,2.714259624286011,0.0162277810377702,True,True,True,False
